name,city,birthDate,deathDate,nationality,occupation
Francis Frith,Chesterfield,1822,1898,,fotograaf
Friedrich Justin Bertuch,,1747,1822,,uitgever
Herman Frederik Carel ten Kate,Den Haag,1822,1891,,prentmaker
Henry William Cave,,1854,1913,,fotograaf
Sigismond Himely,La Neuveville,1801,1872,,prentmaker
Hans Holbein (II),Augsburg,1498,1543,Germany,schilder
Huib van Hove Bz,Den Haag,1814,1867,,prentmaker
William Henry Mote,,1803,1871,,prentmaker
Roelof Helweg,Amsterdam,1758,1843,Netherlands,zilversmid
Simon Fokke,Amsterdam,1712,1784,Netherlands,prentmaker
Reinier Nooms,Amsterdam,1624,1664,Netherlands,prentmaker
Samuel Jessurun de Mesquita,Amsterdam,1868,1944,Netherlands,prentmaker
James McDonald,,1822,1885,,fotograaf
Henry William Cave,,1854,1913,,fotograaf
Claes Jansz. Visscher (II),Amsterdam,1586,1652,Netherlands,uitgever
Ohara Koson,Kanazawa,1877,1945,Japan,prentmaker
Nicolaas Pieneman,Amersfoort,1809,1860,Netherlands,prentmaker
George Hendrik Breitner,Rotterdam,1857,1923,Netherlands,prentmaker
Franciscus Antonius Beersmans,Turnhout,1840,1897,Belgium,uitgever
Georg Andreas Wolfgang,Chemnitz,1631,1716,Germany,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Marius Bauer,Den Haag,1867,1932,,prentmaker
Albert Hahn (I),Groningen,1877,1918,Netherlands,tekenaar
